movie_title,genre,release_year,reviewer_id,rating_1_5,times_watched,would_recommend,platform
Interstellar,Sci-Fi,2014,R08,3.4,3,No,Theater
Interstellar,Sci-Fi,2014,R17,4.5,3,No,Amazon Prime
Frozen,Animation,2013,R09,3.3,1,No,Netflix
The Dark Knight,Action,2008,R20,1.3,5,Yes,Amazon Prime
Interstellar,Sci-Fi,2014,R13,3.6,1,No,Disney+
Coco,Animation,2017,R16,,3,Yes,Amazon Prime
Coco,Animation,2017,R19,3.3,4,No,Apple TV+
The Dark Knight,Action,two thousand twelve,R18,4.7,3,Yes,Apple TV+
Inside Out 2,Animation,2024,R11,3.5,2,Yes,Theater
Inside Out 2,Animation,2024,R15,3.0,3,No,Amazon Prime
Dune: Part Two,action,2024,R01,4.9,4,No,Theater
Soul,Animation,2020,R13,2.4,4,No,Amazon Prime
La La Land,Musical,2016,R18,4.4,4,No,Disney+
The Avengers,Action,2012,R13,3.0,2,No,Theater
The Avengers,Action,2012,R05,2.8,5,No,Theater.                  
Toy Story 4,Animation,2019,R04,4.1,5,No,Disney+
Inside Out 2,Animation,2024,R13,2.6,3,Yes,Disney+
Dune: Part Two,Sci-Fi,2024,R20,1.7,1,Yes,Disney+
Dune: Part Two,Sci-Fi,2024,R03,2.6,1,No,Amazon Prime
The Martian,Sci-Fi,2015,R13,1.8,5,Yes,Disney+
Top Gun: Maverick,Action,2022,R13,2.9,4,Yes,Disney+
Coco,Animation,2017,R11,1.4,2,No,Theater
The Avengers,Action,2012,R20,,4,No,Apple TV+
The Martian,Sci-Fi,2015,R07,1.4,5,No,Apple TV+
Toy Story 4,Animation,2019,R02,4.8,5,Yes,Theater
The Dark Knight,Action,2008,R20,3.4,2,Yes,Netflix
The Dark Knight,Action,2008,R04,2.2,4,Yes,Theater
Soul,Animation,2020,R05,2.0,3,No,Disney+
The Martian,SCI-FI,2015,R14,4.2,5,No,Disney+
Top Gun: Maverick,Action,2022,R13,1.2,4,Yes,Theater
La La Land,Musical,2016,R11,4.7,4,Yes,Amazon Prime
Inside Out 2,Animation,2024,R13,4.0,4,Yes,Theater
The Dark Knight,Action,2008,R04,2.7,5,No,Apple TV+
Toy Story 4,Animation,2019,R09,4.8,4,No,Apple TV+
Spider-Man: No Way Home,Action,2021,R18,2.4,5,Yes,Netflix
The Dark Knight,Action,2008,R19,2.0,3,Yes,NETFLIX
Toy Story 4,Animation,2019,R05,2.5,3,No,Disney+
Frozen,Animation,2013,R12,2.2,4,Yes,Theater
Interstellar,Sci-Fi,2014,R11,1.9,1,No,Apple TV+
La La Land,Musical,2016,R04,2.6,2,Yes,Disney+
Spider-Man: No Way Home,Action,2021,R01,4.4,,No,Amazon Prime
Top Gun: Maverick,Action,2022,R15,1.4,1,No,Netflix
Spider-Man: No Way Home,Action,2021,R19,4.3,5,Yes,Amazon Prime
Interstellar,Sci-Fi,2014,R08,4.0,5,No,Theater
La La Land,animation,2016,R10,4.1,5,Yes,Disney+
Top Gun: Maverick,Action,2022,R13,2.8,2,No,Theater
The Dark Knight,Action,2008,R03,2.3,5,Yes,Disney+
Interstellar,Sci-Fi,2014,R12,4.8,3,Yes,Theater
Coco,Animation,2017,R20,2.7,2,Yes,Theater
